x

"archaeological bibliography 1956-"; dyabola
11-13 nimekettä/vuosi; elibrary.ru venäjänkielisten lehtien tilauksia
2016-2017 computer science; 2017 earth and environmental science; encyclopedia of creativity & invention & innovation and entrepreneurship; encyclopedia of social network analysis and mining; lecture notes in computer science; springer link
aace digital library
aacr journals suite
aaf business collection
aalto-yliopisto: tenttu
aamulehden näköislehti
abi inform / bs; ebrary
abi inform / bs; ebrary; vogue
abi inform / business; ebrary
abi inform business suite ja business source; csa art and humanities; csa social sciences; ebrary academic complete; psycinfo; refworks
abi inform global; ebrary academic complete; refworks
abi inform; ebrary; iimp iipa; iimpft; refworks
abi inform; iimp iipa; iimpft; refworks
abi inform/business suite; camio; iimpft ja iipaft*; ebrary
abi/inform; psycarticles; refworks; ulrichsweb; ebrary academic collection + pda
abi/inform; refworks; ulrichsweb; ebrary academic collection + pda
abo verensiirto; terveysportti
academic collection worldwide; academic search elite; applied science and technology; business source premier; cinahl; cinahl complete; communication and mass media complete; food science source; hospitality & tourism; socindex full text
academic collection; academic search elite; applied science and technology; business source premier; cinahl; cinahl complete; communication and mass media complete; food science source; hospitality & tourism; socindex full text
academic collection; academic search elite; business source elite; cinahl; communication and mass media complete; historical abstracts; philosophers index; rilm répertoire international de littérature musicale; sportdiscus ft
academic collection; academic search premier; business source elite; cinahl; comm.& mass media complete; education research complete; humanities international complete; mla; philosopher's index; philosopher's index with full text
academic collection; academic search premier; business source elite; cinahl; communication and mass media complete; education research complete; humanities international complete; philosophers index; philosopher’s index with full text
academic search elite
academic search elite (ase); business source elite (bse); communication and mass media complete (cmmc); hospitality & tourism complete; sportdiscus ft
academic search elite (ase); business source elite (bse); communication and mass media complete (cmmc); sportdiscus ft
academic search elite / ase
academic search elite / ase (ebsco); business source elite / bse (ebsco); business suite (sis. abi inform. proquest); cinahl (ebsco); communication and mass media complete (ebsco); ebrary academic complete (proquest); ieee/iet electronic library (iel); iimpft & iipaft (proquest); jbi (ovid) / jbi connect+ (käyttöliittymä); refworks (proquest); safari technical books online (proquest)
academic search elite / ase (ebsco); business source elite / bse (ebsco); business suite (sis. abi inform. proquest); cinahl (ebsco); communication and mass media complete (ebsco); ebrary academic complete (proquest); ieee/iet electronic library (iel); iimpft & iipaft (proquest); refworks (proquest); safari technical books online (proquest)
academic search elite / ase; business source elite / bse; cinahl + ft; sportdiscus with fulltext
academic search elite / ase; business source elite / bse; cinahl; cinahl ft; sportdiscus with fulltext
academic search elite / ase; business source elite / bse; cinahl; sportdiscus with fulltext
academic search elite; academic search premier; cinahl; iel; wilson art
academic search elite; ageline; arctica and antractica; art full text; business source elite; hospitality and tourism
academic search elite; ageline; cinahl; eds; psycinfo; socindex with fulltext
academic search elite; applied science & technology science; business source elite; cinahl; hospitality & tourism; smart
academic search elite; applied science & technology source; business source elite; cinahl; cinahl with full text; hospitality & tourism complete; library & information science source; ebook academic collection
academic search elite; applied science & technology source; business source elite; cinahl; cinahl with full text; hospitality & tourism complete; library & information science source; sociological collection; ebook academic collection
academic search elite; art full text; cinahl; cinahl complete
academic search elite; business source complete
academic search elite; business source complete; communication and mass media complete; econlit; lehtiä; textile technology complete; wilson art full text; world textiles
academic search elite; business source complete; communication and mass media complete; econlit; wilson art full text
academic search elite; business source complete; communication and mass media complete; lehtiä; textile technology complete; wilson art full text; world textiles
academic search elite; business source elite
academic search elite; business source elite; cinahl
academic search elite; business source elite; cinahl; cinahl complete; communication & mass media complete
academic search elite; business source elite; cinahl; cinahl ft; hospitality and tourism
academic search elite; business source elite; cinahl; cinahl with full text
academic search elite; business source elite; cinahl; cinahl with full text; hospitality & tourism complete
academic search elite; business source elite; cinahl; ecm (pda)
academic search elite; business source elite; cinahl; eric; hospitality&tourism
academic search elite; business source elite; cinahl; sportdiscus ft
academic search elite; business source elite; communication and mass media complete; e-kirjoja valinnan mukaan; harvard business review for course work online; hospitality & tourism complete; sportdiscus ft
academic search elite; business source premier; cinahl; communication and mass media complete
academic search elite; business source premier; cinahl; communication and mass media complete; food science source; hospitality & tourism; socindex full text
academic search elite; business source premier; cinahl; communication and mass media complete; hospitality & tourism; socindex full text
academic search elite; business source premier; cinahl; communication and mass media complete; socindex full text
academic search elite; business source premier; communication and mass media complete; mla
academic search elite; business suite (abi inform); ebrary academic complete; refworks
academic search elite; business suite (abi inform); ebrary academic complete; refworks; vogue
academic search elite; cinahl
academic search elite; cinahl complete; cinahl; wilson art full text
academic search elite; cinahl; cinahl complete; wilson art
academic search elite; cinahl; cinahl fulltext
academic search elite; cinahl; cinahl with fulltext
academic search elite; cinahl; hospitality & tourism complete
academic search elite; cinahl; hospitality tourism complete; sportdiscus ft
academic search elite; cinahl; iel; wilson art
academic search elite; cinahl; socindex with fulltext
academic search elite; cinahl; sportdiscus  ft
academic search elite; cinahl; sportdiscus ft
academic search elite; cinahl; wilson art
academic search elite; cinahl; wilson art full text
academic search elite; e-lehdet; sportdiscus with fulltext
academic search elite; hospitality & tourism complete; scientific & medical art imagebase
academic search elite; internat. bibl. of theater and dance; rilm; ripm online archive; rism
academic search elite; internat. bibl. of theater and dance; rilm; rism
academic search elite; international index to performing arts (full text)
academic search elite; rilm
academic search elite; rilm; ripm; rism
academic search elite; rilm; rism
academic search premier
academic search premier + cmmc + cinahl; cinahl fulltext
academic search premier + cmmc + cinahl; cinahl fulltext; ebook
academic search premier + cmmc + cinahl; ebook; education source
academic search premier; america history and life; arctic&antarctic regions; avery index; business source complete; cinahl; communication and mass media complete; ebook collection (2014 lähtien); georef; historical abstracts; mla
academic search premier; arctic&antarctic regions & america: history and life; art&architecture complete; avery index; business source complete; cinahl; communication and mass media complete; econlit; georef; historical abstracts; ebook academic collection
academic search premier; business source complete; plumx; selected journals
academic search premier; business source elite; cinahl; comm.& mass media complete; education research complete; humanities international complete; mla; philosopher's index
academic search premier; cinahl; cinahl complete; iel; wilson art
academic search premier; cinahl; cinahl fulltext; communication and mass media complete; e-book academic collection
academic search premier; socindex with fulltext
academic source elite; art full text; business source complete; communication and mass media complete; textile technology complete; world textiles
academic video online; ebrary; linguistics and language behavour abstracts; literature online; mla international bibliography; myilibrary (alustamaksu); proquest social sciences premium collection; refworks; ulrichsweb
academice search elite; cinahl; hospitality tourism complete; sportdiscus with fulltext
access engineering
accessengineering; accessscience
acland's video atlas of human anatomy; jbi complete
acm
acm digital library
acm digital library / acm
acs
acs journals
acs publications; scifinderscholar
acs; scifinder
acta sanctorum; cross searchability: acta sanctorum & patrologia latina; eebo; patrologia latina database; rilm
acta sanctorum; cross searchability: acta sanctorum & patrologia latina; patrologia latina database
acta sanctorum; ebrary; luthers werke; mla international bibliography; pq complete collection; refworks; safari
ada nutrition care manual (e-kirja)
ada nutrition care manual (e-kirja); ada pediatric nutrition care manual
advances in experimental social psychology; cell press; clinics of north america journals online; elsevier healthsciences elibrary; elsevier reference works; elsevier sciencedirect; embase; handbooks in economics series; international encyclopedia of the social and behavioral sciences; scopus
advances in experimental social psychology; cell press; clinics of north america journals; elsevier health sciences elibrary; elsevier reference works; embase; encyclopedia of mental health; freedom collection; handbook in economic series; international encyclopedia of the social & behavioral sciences; scopus
advances in experimental social psychology; cell press; elsevier reference works; elsevier sciencedirect; international encyclopedia of the social and behavioral sciences
advances in space research; aerosol science and technology incl free online; agu total package digital library journals archive 1896-1995 (yearly access fee); atmospheric environment; cold regions science & technology; continental shelf research; deep sea research parts i & ii: oceanographic research papers & topical studies in oceanography; dynamics of atmospheres & oceans; ebl ebook library; environmental science and technology; estuarine coastal & shelf science; geophysical journal international; international journal of climatology; international journal of wildland fire; journal of applied meteorology and climatology nonmember price; journal of atmospheric & solar-terrestrial physics; journal of atmospheric and oceanic technology corporation and institution member price; journal of climate corporation and institution member price; journal of fluid mechanics; journal of hazardous materials; journal of marine systems; journal of physical oceanography corporation and institution member price; journal of the atmospheric sciences corporation and institution member price; marine chemistry; meteorological & geoastrophysical abstracts; meteorological applications; monthly weather review corporation and institution member price; nature climate change online only site licence; planetary and space science; progress in oceanography; quarterly journal of the royal meteorological society; remote sensing of environment
advances in space research; aerosol science and technology incl free online; agu total package digital library journals archive 1896-1995 (yearly access fee); atmospheric environment; cold regions science & technology; continental shelf research; deep sea research parts i & ii: oceanographic research papers & topical studies in oceanography; dynamics of atmospheres & oceans; environmental science and technology; estuarine coastal & shelf science; geophysical journal international; international journal of climatology; international journal of wildland fire; journal of applied meteorology and climatology nonmember price; journal of atmospheric & solar-terrestrial physics; journal of atmospheric and oceanic technology corporation and institution member price; journal of climate corporation and institution member price; journal of fluid mechanics; journal of hazardous materials; journal of marine systems; journal of physical oceanography corporation and institution member price; journal of the atmospheric sciences corporation and institution member price; marine chemistry; meteorological & geoastrophysical abstracts; monthly weather review corporation and institution member price; nature climate change online only site licence; planetary and space science; progress in oceanography; remote sensing of environment
advances in space research; aerosol science and technology incl free online; agu total package digital library journals archive 1896-1995 (yearly access fee); atmospheric environment; cold regions science & technology; continental shelf research; deep sea research parts i & ii: oceanographic research papers & topical studies in oceanography; dynamics of atmospheres & oceans; environmental science and technology; estuarine coastal & shelf science; geophysical journal international; international journal of climatology; international journal of wildland fire; journal of applied meteorology and climatology nonmember price; journal of atmospheric & solar-terrestrial physics; journal of atmospheric and oceanic technology corporation and institution member price; journal of climate corporation and institution member price; journal of fluid mechanics; journal of hazardous materials; journal of marine systems; journal of physical oceanography corporation and institution member price; journal of the atmospheric sciences corporation and institution member price; meteorological & geoastrophysical abstracts; monthly weather review corporation and institution member price; nature climate change online only site licence; planetary and space science; progress in oceanography; quarterly journal of the royal meteorological society; remote sensing of environment
advances in space research; aerosol science and technology incl free online; agu total package digital library journals archive 1896-1995 (yearly access fee); atmospheric environment; cold regions science & technology; continental shelf research; deep sea research parts i & ii: oceanographic research papers & topical studies in oceanography; dynamics of atmospheres & oceans; environmental science and technology; estuarine coastal & shelf science; international journal of climatology; international journal of wildland fire; journal of applied meteorology and climatology nonmember price; journal of atmospheric & solar-terrestrial physics; journal of atmospheric and oceanic technology corporation and institution member price; journal of climate corporation and institution member price; journal of fluid mechanics; journal of hazardous materials; journal of marine systems; journal of physical oceanography corporation and institution member price; journal of the atmospheric sciences corporation and institution member price; meteorological & geoastrophysical abstracts; meteorological applications; monthly weather review corporation and institution member price; nature climate change online only site licence; planetary and space science; progress in oceanography; quarterly journal of the royal meteorological society; remote sensing of environment; science site license
aerosol science and technology euroopan sisällä
africa bibliography
agronomy journal; crop science; journal of environmental quality; journal of plant registrations; natural sciences education; plant genome; soil science society of america journal; vadose zone journal; crop; forage & turfgrass management
aiaa journal
aip journals
aip journals (selection)
aip multi title package
aip selected journals
akuuttihoidon tietokannat; oppiportti(oppikirjapaketit 1-4); työterveys ja kuntoutus
akuuttihoito; oppiportti; työterveys ja kuntoutus -tietokanta
aleksi
aleksi online
aleksi; artikelsök
allgemeines künstlerlexikon
alma talent pro verkkokirjahylly; fokus esimies; fokus talous ja verotus; talentum lehtiarkisto
altika; astika; suomen tilastollinen vuosikirja
altika; elinkeinorakenne ja työssäkäynti; suomen tilastollinen vuosikirja
altika; suomen tilastollinen vuosikirja
alueinfo; svt vuosikirja
alueonline; astika
alueonline; astika; kunnittainen toimipaikkatilasto kunto
alueonline; astika; tilastokeskus: altika (tilastot sis. stv:n)
ama manual of style online; electronic enlightenment ylläpito; grove art; grove music; oro premium + literature collection + western civilization; oxford english dictionary; oxford medicine online; oxford journals full collection
ama manual of style; electronic enlightenment; grove art; grove music; new oxford shakespeare; oho law collection 2016; oho linguistics 2016; oso law 2016-2017 collection; oxford english dictionary; oxford reference online; oxford journals full collection
amadeus
america history and life + historical abstracts
american association for advancement science aaas
american chemical society
american chemical society (acs)
american chemical society / acs
american chemical society / acs; scifinderscholar
american chemical society acs + arkisto; scifinder scholar/chemical abstracts
american chemical society journals; scifinder scholar chemical abstracts
american chemical society; scifinderscholar
american economic association 7 journals package only available in package subscription (site license); brookings papers on economic activity; cesifo economic studies (institutional regular price); econometrica package; economic policy; economica; economics package includes the economic journal & the econometrics journal; ekonomisk debatt incl swedish economic policy review online outside sweden; environmental & resource economics; european journal of population; european taxation standard journal; finanzarchiv / public finance analysis; health economics online only; imf staff papers/imf economic review; international economic review; international labour review; international tax and public finance; journal of economic growth online only; journal of economic inequality; journal of economic surveys; journal of human resources online only; journal of labor economics basic access one simultaneous user; journal of political economy basic access one simultaneous user; journal of productivity analysis; journal of the european economic association; kyklos: international review of social sciences; national institute economic review; national tax journal & proceedings of the annual conference on taxation (journal full text online; nber working paper series (national bureau of economic research) online only/standard price; oxford economic papers online only (instit regular price); oxford review of economic policy online only (instit regular price); proceedings distributed via cd-roms); public budgeting & finance; public choice; public finance review; public performance and management review; quarterly journal of economics tier 2; regional studies; review of economic studies; review of economics & statistics; review of income and wealth; scandinavian journal of economics; stata journal; tax notes international; world bank economic review online only (corporate price); world economics
