name	orig	note
Encyclopedia Britannica	Encyclopedia Britannica /Wize Nordic AB	
Energiateollisuus ry+Adato Energia Oy	Energiateollisuus ry+Adato Energia Oy	
ENI 	ENI 	
ERS EUROPEAN RESPIRATORY SOCIETY	ERS EUROPEAN RESPIRATORY SOCIETY	
Esmerk/M-brain	Esmerk / M-Brain Insight	
Esmerk/M-brain	Esmerk/M-brain	
ETLA	ETLA	
Euromonitor International	Euromonitor International	
European Audivisual Observatory	European Audivisual Observatory	
European Directorate for the Quality of Medicines (EDQM)	European Directorate for the Quality of Medicines (EDQM)	
European Economic Association	European Economic Association	
EUROPEAN MATHEMATICAL SOCIETY; FIZ KARLSRUHE	EUROPEAN MATHEMATICAL SOCIETY; FIZ KARLSRUHE	
European Society of Intensive Care Medicine (ESICM)	European Society of Intensive Care Medicine (ESICM)	
Expert Information Ltd. /ProQuest	Expert Information Ltd. /ProQuest	
Export Finland	Export Finland	
FAR Akademi	FAR Akademi	
FAR Akademi	FAR Akademi Ab	
Financial Times Limited	Financial Times Limited	
FinELib	FinELib	
FinPro	FinPro	
FINVA Finanssikoulutus Oy	FINVA Finanssikoulutus Oy	
FIZ Karlsruhe	FIZ Karlsruhe	
Fonecta	Fonecta	
Fonecta	Fonecta Oy	
Frost&Sullivan	Frost&Sullivan	
Futere CAD	Futere CAD	
Gale	Gale	
Gale Cengage Learning	Gale Cengage Learning	
Garnier	Garnier	
Gartner	Gartner	
Geological Society of America (GSA) /Ebsco	Geological Society of America (GSA) /Ebsco	
Geological Society of London /Ebsco	Geological Society of London /Ebsco	
Georg Thieme Verlag KG / Thieme Publishing Group	Georg Thieme Verlag KG / Thieme Publishing Group	
GeoScienceWorld y Lyell Collection	GeoScienceWorld y Lyell Collection	
Geschaeftsstelle DigiZeitschriften e.V. c/o Niedersaechsische Staats- und Universitaetsbibliothek Goettingen (SUB)	Geschaeftsstelle DigiZeitschriften e.V. c/o Niedersaechsische Staats- und Universitaetsbibliothek Goettingen (SUB)
Geschaeftsstelle DigiZeitschriften e.V. c/o Niedersaechsische Staats- und Universitaetsbibliothek Goettingen (SUB)	Geschaeftsstelle DigiZeitschriften e.V. c/o Niedersaechsische Staats- und Universitaetsbibliothek Göttingen (SUB)	
Grove	Grove	
